invoice_id,subscription_id,invoice_date,amount,payment_status,is_outlier
1,1,2024-07-17,79.0,failed,False
2,1,2024-08-17,79.0,paid,False
3,1,2024-09-17,0.79,paid,True
4,1,2024-10-17,7900.0,failed,True
5,1,2024-11-17,79.0,paid,False
6,2,2023-03-03,29.0,paid,False
7,2,2023-04-03,29.0,paid,False
8,2,2023-05-03,29.0,failed,False
9,2,2023-06-03,29.0,paid,False
10,2,2023-07-03,29.0,paid,False
11,2,2023-03-08,29.0,paid,False
12,2,2023-09-03,29.0,paid,False
13,2,2023-10-03,29.0,paid,False
14,2,2023-03-11,29.0,paid,False
15,2,2023-12-03,29.0,paid,False
16,2,2024-01-03,29.0,paid,False
17,2,2024-02-03,29.0,paid,False
18,2,2024-03-03,29.0,paid,False
19,2,2024-04-03,29.0,paid,False
20,2,2024-05-03,29.0,paid,False
21,2,2024-06-03,29.0,paid,False
22,2,2024-07-03,29.0,paid,False
23,2,2024-08-03,29.0,paid,False
24,2,2024-09-03,29.0,paid,False
25,2,2024-10-03,29.0,paid,False
26,2,2024-11-03,29.0,failed,False
27,2,2024-12-03,29.0,failed,False
28,2,2025-01-03,29.0,paid,False
29,2,2025-02-03,29.0,paid,False
30,2,2025-03-03,29.0,paid,False
31,2,2025-04-03,29.0,paid,False
32,2,2025-05-03,29.0,paid,False
33,2,2025-06-03,29.0,paid,False
34,2,2025-03-07,29.0,paid,False
35,2,2025-08-03,29.0,paid,False
36,2,2025-09-03,29.0,paid,False
37,2,2025-10-03,29.0,paid,False
38,2,2025-11-03,29.0,paid,False
39,2,2025-12-03,29.0,paid,False
40,3,2023-01-14,290.0,paid,False
41,3,2024-01-14,290.0,paid,False
42,4,2024-06-19,790.0,paid,False
43,4,2025-06-19,790.0,paid,False
44,5,2023-07-29,29.0,paid,False
45,5,2023-08-29,29.0,paid,False
46,5,2023-09-29,29.0,paid,False
47,5,2023-10-29,29.0,paid,False
48,5,2023-11-29,29.0,paid,False
49,5,2023-12-29,29.0,paid,False
50,5,2024-01-29,29.0,paid,False
51,5,2024-02-29,29.0,paid,False
52,5,2024-03-29,29.0,paid,False
53,5,2024-04-29,0.29,paid,True
54,5,2024-05-29,29.0,paid,False
55,5,2024-06-29,29.0,paid,False
56,5,2024-07-29,29.0,paid,False
57,5,2024-08-29,29.0,paid,False
58,5,2024-09-29,29.0,paid,False
59,5,2024-10-29,29.0,paid,False
60,5,2024-11-29,29.0,paid,False
61,5,2024-12-29,29.0,paid,False
62,5,2025-01-29,29.0,paid,False
63,5,2025-02-28,29.0,paid,False
64,5,2025-03-28,29.0,paid,False
65,5,2025-04-28,29.0,paid,False
66,5,2025-05-28,29.0,paid,False
67,5,2025-06-28,29.0,paid,False
68,5,2025-07-28,29.0,paid,False
69,5,2025-08-28,29.0,paid,False
70,5,2025-09-28,29.0,failed,False
71,5,2025-10-28,2900.0,paid,True
72,5,2025-11-28,29.0,paid,False
73,5,2025-12-28,29.0,failed,False
74,6,2023-09-13,29.0,failed,False
75,6,2023-10-13,29.0,paid,False
76,6,2023-11-13,29.0,paid,False
77,6,2023-12-13,29.0,paid,False
78,6,2024-01-13,29.0,paid,False
79,6,2024-02-13,29.0,paid,False
80,6,2024-03-13,29.0,paid,False
81,6,2024-04-13,29.0,paid,False
82,6,2024-05-13,29.0,paid,False
83,6,2024-06-13,29.0,paid,False
84,6,2024-07-13,29.0,paid,False
85,6,2024-08-13,29.0,paid,False
86,6,2024-09-13,29.0,paid,False
87,6,2024-10-13,29.0,paid,False
88,6,2024-11-13,29.0,paid,False
89,6,2024-12-13,29.0,paid,False
90,6,2025-01-13,29.0,paid,False
91,6,2025-02-13,29.0,paid,False
92,6,2025-03-13,29.0,paid,False
93,6,2025-04-13,29.0,paid,False
94,6,2025-05-13,29.0,paid,False
95,6,2025-06-13,29.0,failed,False
96,6,2025-07-13,29.0,paid,False
97,6,2025-08-13,29.0,paid,False
98,6,2025-09-13,29.0,paid,False
99,6,2025-10-13,29.0,paid,False
100,6,2025-11-13,29.0,paid,False
101,6,2025-12-13,29.0,paid,False
102,7,2023-04-04,790.0,failed,False
103,7,2024-04-04,790.0,paid,False
104,7,2025-04-04,790.0,paid,False
105,8,2025-01-17,290.0,paid,False
106,9,2025-12-29,79000.0,paid,True
107,10,2024-04-14,290.0,paid,False
108,10,2025-04-14,290.0,paid,False
109,11,2025-03-21,199.0,paid,False
110,11,2025-04-21,199.0,paid,False
111,11,2025-05-21,199.0,paid,False
112,11,2025-06-21,199.0,paid,False
113,11,2025-07-21,199.0,paid,False
114,11,2025-08-21,199.0,paid,False
115,11,2025-09-21,199.0,paid,False
116,11,2025-10-21,199.0,paid,False
117,11,2025-11-21,199.0,paid,False
118,11,2025-12-21,199.0,paid,False
119,12,2025-03-28,290.0,paid,False
120,13,2023-11-24,199.0,paid,False
121,13,2023-12-24,199.0,paid,False
122,13,2024-01-24,199.0,paid,False
123,13,2024-02-24,199.0,paid,False
124,13,2024-03-24,199.0,paid,False
125,13,2024-04-24,199.0,paid,False
126,13,2024-05-24,199.0,paid,False
127,13,2024-06-24,199.0,paid,False
128,13,2024-07-24,199.0,paid,False
129,14,2023-08-23,29.0,paid,False
130,14,2023-09-23,29.0,paid,False
131,14,2023-10-23,29.0,paid,False
132,15,2025-07-18,79.0,paid,False
133,15,2025-08-18,79.0,paid,False
134,15,2025-09-18,79.0,paid,False
135,15,2025-10-18,79.0,paid,False
136,15,2025-11-18,79.0,paid,False
137,15,2025-12-18,79.0,paid,False
138,16,2024-03-09,290.0,paid,False
139,17,2024-05-24,790.0,paid,False
140,17,2025-05-24,790.0,paid,False
141,18,2024-10-25,790.0,paid,False
